country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Democratic Republic of the Congo,COD,10,0,85275105,42.380001,31.07,35.689999,28.16,28.15,26.68,29.66,27.07,22.709999,26.059999,27.049999,28.549999,29.629999,30.17,32.02,33.689999,30.139999,35.41,31.370001,26.280001,27.049999,3.1700001,2.0599999,2.52,1.78,1.78,1.63,1.9299999,1.67,1.25,1.5700001,1.67,1.8200001,1.92,1.98,2.1600001,2.3199999,1.97,2.49,2.0899999,1.6,1.67,,,,,,,,,,,,,,,,,,,,,
Republic of Congo,COG,10,0,5093927,36.830002,28.02,32.57,27.15,29.02,27.23,29.51,27.809999,24.780001,25.870001,29.33,30.02,31.67,30.389999,29.219999,34.790001,31.040001,33.200001,31.280001,26.389999,30.110001,2.6300001,1.77,2.21,1.6799999,1.86,1.6900001,1.91,1.75,1.45,1.5599999,1.89,1.96,2.1199999,2,1.88,2.4300001,2.0599999,2.27,2.0899999,1.61,1.97,,,,,,,,,,,,,,,,,,,,,
Cook Islands,COK,10,0,7512,1.08,1.5700001,.88999999,.0099999998,1.61,1.76,1.71,1.8200001,.88999999,1.15,1.55,.029999999,1.24,.51999998,1.62,1.58,1.5700001,.0099999998,1.58,1.47,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,10,25,48096614,41.77,33.34,33.77,21.459999,19.969999,24.6,21.09,21.860001,21.73,22.6,22.639999,20.959999,26.07,25.42,22.24,22.92,23.25,21.15,22.83,21.389999,22.860001,3.1099999,2.29,2.3299999,1.13,1,1.4299999,1.1,1.16,1.15,1.24,1.24,1.09,1.58,1.52,1.21,1.27,1.3,1.1,1.26,1.12,1.26,1.78,1.02,1.1,.090000004,.050000001,.30000001,.13,.16,.15000001,.12,.19,.13,.38999999,.41,.17,.17,.22,.059999999,.12,.11,.20999999
Comoros,COM,10,0,773062,3.9400001,2.96,3.7,4,3.6099999,3.8,3.0899999,2.9400001,3.1600001,3.78,3.1099999,3.1400001,3.3599999,3.8800001,3.4200001,3.74,3.25,3.55,3.4100001,3.1099999,3.1600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,10,0,568373,2.8699999,5.1199999,3.3800001,5.7199998,2.99,5.3000002,5.5,4.9099998,4.9400001,4.2399998,3.27,2.9200001,2.3,2.8099999,4.6500001,4.3299999,2.28,2.9200001,2.9100001,4.7600002,3.3199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,10,0,4987129,10.46,6.27,5.2199998,6.4000001,5.79,5.9299998,5.6799998,6.7399998,5.8800001,7.25,6.77,7.7199998,7.0300002,7.2800002,7.3400002,8.2299995,7.29,7.5599999,7.9299998,7.0599999,5.6599998,.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,10,0,11096183,7.8499999,6.7399998,6.1199999,8.4099998,7.1799998,5.73,7.2199998,7.23,7.1900001,6.8699999,6.27,5.6100001,6.5700002,6.2800002,6.8099999,7.3000002,7.5700002,5.23,6.6199999,5.3899999,6.4699998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Curaçao,CUW,10,0,150241,3.78,2.52,3.74,4.75,3.1700001,2.72,3.3299999,4.4299998,3.6099999,6.0900002,4.04,3.6199999,4.21,3.8499999,3.8499999,4,4.23,4.23,5.6500001,3.8399999,2.6800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Christmas Island,CXR,10,0,2205,5.98,6.23,5.8400002,5.5700002,6.5599999,5.0300002,4.9899998,5.3800001,6.1999998,5.5900002,5.9400001,4.3200002,4.75,3.8800001,6.6799998,4.6500001,6.5799999,6.73,5.9099998,4.5999999,5.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,10,25,825409,10.36,9.8100004,9.8299999,10.08,8.6099997,11.2,9.8000002,10.68,11.51,9.7799997,8.8699999,12.92,9.3699999,11.65,10.64,9.79,10.67,11.82,11.11,11.48,9.6599998,.079999998,.050000001,.059999999,.07,.02,.13,.07,.090000004,.16,.059999999,.02,.28999999,.050000001,.16,.090000004,.059999999,.1,.18000001,.12,.15000001,.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,10,25,10693909,31,24.76,24.309999,22.959999,25.110001,22.16,19.09,23.5,22.5,17.940001,15.03,21.15,23.68,21.549999,18.870001,21.450001,18.889999,19.219999,19.360001,16.200001,14.51,2.0599999,1.45,1.4,1.27,1.48,1.1900001,.88999999,1.3200001,1.23,.77999997,.49000001,1.09,1.34,1.13,.87,1.12,.87,.89999998,.92000002,.61000001,.44,.61000001,.16,.090000004,.059999999,.14,.059999999,.0099999998,.12,.079999998,.0099999998,0,.039999999,.090000004,.039999999,0,.029999999,0,0,.0099999998,0,0
Germany,DEU,10,25,80423726,24.299999,19.74,18.860001,17.610001,19.09,18.549999,15.95,15.43,16.959999,14.51,14.63,16.33,18.719999,17.18,14.9,15.94,14.2,14.28,14.78,13.21,12.42,1.4,.94999999,.87,.75,.88999999,.83999997,.57999998,.52999997,.68000001,.44,.44999999,.62,.85000002,.69999999,.47999999,.57999998,.41,.41999999,.47,.31999999,.23999999,.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,10,0,883460,14.12,15.64,12.52,9.8599997,13,15.43,9.71,9.4700003,10.73,12.38,17.450001,17.74,13.66,18.280001,14.16,14.18,14.08,19.120001,12.33,13.18,13.27,.40000001,.55000001,.25,.02,.28999999,.52999997,.0099999998,0,.079999998,.23,.73000002,.75999999,.36000001,.81,.41,.41,.40000001,.88999999,.23,.31,.31999999,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,10,0,74027,3.8599999,2.49,6.1900001,6.5500002,4.2199998,2.3,3.5599999,5.1100001,2.76,8.1499996,3.1800001,2.96,6.2199998,3.51,5.8400002,2.9400001,2.95,5.25,3.6400001,5.1999998,2.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,10,25,5751626,19.969999,16.129999,16.049999,11.53,14.45,16.559999,11.62,12.66,14.31,12.51,9.5699997,11.23,13.9,14.2,9.5500002,9.5299997,12.63,9.1499996,9.0900002,10.31,12.15,.98000002,.60000002,.58999997,.16,.44,.63999999,.17,.25999999,.41999999,.25,.02,.13,.38999999,.41,.039999999,.039999999,.25999999,.0099999998,.0099999998,.079999998,.20999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,10,15,10275070,7.0500002,6.54,7.0599999,8.8800001,6.8400002,5.6399999,7.8800001,8.1899996,7.9899998,10.21,6.9200001,5.9899998,8.4200001,7.0100002,9.6800003,8.1999998,8.9300003,6.0300002,6.7399998,8.7600002,7.5100002,0,0,0,.02,0,0,0,.0099999998,.0099999998,.079999998,0,0,.0099999998,0,.059999999,.0099999998,.02,0,0,.029999999,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,10,0,41659254,8.3599997,7.4699998,7.5300002,9.1499996,10.33,9.5100002,8.3800001,9.1000004,10.78,10.08,8.6199999,6.5599999,4.9899998,8.75,8.4099998,6.8200002,4.1399999,9.7799997,6.4499998,8.8699999,6.4400001,.02,.0099999998,.0099999998,.039999999,.14,.07,.050000001,.050000001,.13,.1,.029999999,0,0,.02,.050000001,.02,0,.059999999,0,.029999999,0,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,10,15,16493195,14.03,12.08,11.89,11.79,12.55,11.96,13.17,13.14,12.28,13.71,13.06,13.86,15.51,13.82,14.31,13.85,14.1,14.8,14.88,12.76,12.98,.40000001,.23999999,.22,.20999999,.27000001,.23,.33000001,.31999999,.25,.37,.33000001,.38999999,.54000002,.38,.43000001,.38999999,.41,.47,.47999999,.28999999,.31999999,.079999998,.039999999,.029999999,.059999999,.059999999,.050000001,.090000004,.090000004,.050000001,.090000004,.07,.1,.14,.11,.11,.1,.1,.14,.13,.07,.059999999
Egypt,EGY,10,0,99422588,11.17,12.66,11.07,9.4700003,10.95,17.969999,10.44,9.8299999,12.46,11.71,17.15,14.06,12.94,12.97,12.77,11.22,13.93,9.7600002,14.5,11.42,13.09,.14,.31999999,.17,.0099999998,.15000001,.77999997,.1,.059999999,.23999999,.18000001,.69999999,.43000001,.28999999,.28999999,.34999999,.13,.40000001,.039999999,.44,.19,.31,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,10,0,5955442,11.46,11.35,11.61,7.27,10.03,10.14,7.6900001,8.2200003,7.8899999,10.03,10.96,11.2,6.9499998,9.71,10.44,7.79,10.27,10.67,9.5600004,12.56,9.7399998,.17,.15000001,.17,0,.039999999,.050000001,0,0,.0099999998,.039999999,.11,.13,.0099999998,.050000001,.079999998,.0099999998,.079999998,.079999998,.029999999,.25,.029999999,,,,,,,,,,,,,,,,,,,,,
Western Sahara,ESH,10,0,622693,3.4300001,4.6900001,3.3099999,2.05,4.1100001,6.29,5.3800001,4.4400001,2.4200001,4.3699999,3.6600001,4.6799998,3.8900001,4.1900001,3.52,1.87,4.6700001,3.6300001,2.74,3.52,3.1700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,10,25,49291765,11.01,9.6000004,11.98,9.1300001,10.26,10.5,9.79,8.3699999,9.3800001,9.4300003,8.9700003,8.9399996,7.5999999,9.9200001,8.6000004,8.7799997,5.79,8.4799995,8.4200001,8.5100002,8.0200005,.20999999,.090000004,.25999999,.07,.12,.13,.090000004,.029999999,.07,.07,.050000001,.07,.029999999,.1,.050000001,.050000001,0,.039999999,.050000001,.029999999,.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,EST,10,25,1241923,10.77,11.78,9.6000004,8.5600004,10.26,9.0200005,7.5,9.5200005,11.36,7.5599999,8.29,9.0100002,10.85,8.3299999,7.9400001,7.4899998,8.8800001,6.1999998,6.8600001,5.5799999,9.6899996,.079999998,.17,.02,.0099999998,.059999999,.02,0,.029999999,.13,0,.0099999998,.029999999,.11,.0099999998,0,0,0,0,0,0,.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,10,0,110692894,12.53,11.23,12.07,13.86,13.95,12.67,10.37,10.53,12.19,14.39,14.92,15.9,14.26,18.33,15.85,14.94,16.889999,16.33,15.66,16.59,13.56,.28,.16,.23999999,.41,.38999999,.27000001,.11,.14,.25,.44,.49000001,.57999998,.43000001,.81999999,.57999998,.49000001,.68000001,.62,.56,.64999998,.36000001,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,10,25,5491062,9.4499998,10.2,8.75,7.7399998,7.5599999,7.71,6.96,7.54,9.4200001,5.8400002,6.7800002,7.3699999,7.9099998,7.21,6.73,6.3000002,8.1700001,5.73,6.2800002,5.1700001,7.3299999,.050000001,.090000004,.029999999,0,.0099999998,0,0,.0099999998,.050000001,0,0,0,.0099999998,0,0,0,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,10,0,894389,1.6,1.97,1.49,1.26,1.58,1.9299999,1.8,1.88,1.24,1.5599999,2.23,1.85,1.86,1.91,1.6900001,1.46,1.42,.85000002,2.02,1.99,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,FLK,10,0,3194,1.79,.74000001,1.3099999,.73000002,1.59,1.26,1.79,1.21,1.14,.92000002,1.91,.64999998,1.03,1.02,2.52,2.0999999,1.3200001,1.35,2.6099999,2.1400001,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
France,FRA,10,25,65206249,18.700001,15.8,14.89,14.96,13.18,15.91,12.96,12.55,14.61,13.03,12.09,14.72,13.85,13.4,12.58,13.56,9.8400002,10.85,11.84,10.21,10.06,.85000002,.56999999,.47999999,.49000001,.34,.57999998,.31,.27000001,.47,.31,.25,.47,.41,.36000001,.30000001,.38,.12,.17,.23,.14,.11,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,FRO,10,0,51018,2.8599999,2.1700001,2.97,3.22,3.55,4.3200002,3.23,2.3599999,3.03,1.71,2.3800001,2.79,.33000001,1.53,1.65,2.02,3.1500001,1.49,1.85,2.5599999,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Micronesia,FSM,10,0,90396,1.9400001,1.09,.92000002,1.23,2.0599999,1.08,1.23,1.61,1.12,1.04,1.5700001,1.45,1.36,.61000001,.56,1.55,1.72,1.85,1.27,.47,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,10,0,2120594,27.18,19.879999,23.450001,21.09,21.5,21.700001,20.68,20.83,18.24,18.41,21.6,19.5,22.01,22.440001,19.92,24.68,20.870001,23.27,22.049999,19.450001,20.879999,1.6799999,.97000003,1.3200001,1.09,1.13,1.15,1.05,1.0599999,.81,.81999999,1.14,.93000001,1.1799999,1.22,.97000003,1.4400001,1.0700001,1.3,1.1799999,.93000001,1.0700001,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,10,25,64994554,18.959999,16.6,16.690001,13.07,13.64,18.57,12.65,12.74,12.26,12.12,12.38,12.24,11.45,12.1,10.61,11.34,10.74,8.2200003,11.53,9.9700003,9.9399996,.88,.66000003,.67000002,.33000001,.38,.83999997,.28999999,.30000001,.25999999,.25,.28999999,.25999999,.19,.25999999,.12,.2,.13,.0099999998,.2,.12,.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,GEO,10,0,4938938,16.07,12.65,11.41,11.13,11.36,9.3100004,7.3000002,11.06,10.99,9.9300003,13.01,10.67,9.2799997,12.01,11.41,12.09,12.37,9.4899998,13.17,11.3,9.1700001,.60000002,.28,.18000001,.16,.18000001,.079999998,.0099999998,.18000001,.18000001,.12,.30000001,.13,.050000001,.23,.19,.23999999,.27000001,.090000004,.33000001,.18000001,.050000001,,,,,,,,,,,,,,,,,,,,,
Guernsey,GGY,10,0,64665,12.98,11.48,11.34,8.9099998,9.0900002,11.51,9.3999996,8.9899998,9.7700005,9.4300003,8.6700001,8.9700003,8.5299997,9,7.46,8.21,7.2600002,5.3600001,8.25,6.5900002,7.5300002,.28999999,.14,.13,0,0,.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,10,0,28057219,44.240002,23.469999,27.9,30.85,27.5,24.33,45.029999,37.709999,30.690001,39.48,29.01,26.059999,28.59,32.860001,29.790001,31.059999,27.559999,34.41,21.16,26.32,25.92,3.3599999,1.3200001,1.76,2.04,1.72,1.4,3.4300001,2.72,2.03,2.8900001,1.86,1.5700001,1.8200001,2.24,1.9400001,2.0599999,1.72,2.3900001,1.09,1.6,1.5599999,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,10,0,30045,9.8800001,10.19,10.34,10.08,10.27,10.81,10.2,8.1300001,9.6199999,10.88,9.9700003,7.8099999,7.96,10.45,7.6300001,9.8500004,7.5300002,10.1,7.8299999,10.44,8.3000002,0,.02,.029999999,.0099999998,.029999999,.079999998,.02,0,0,.090000004,.0099999998,0,0,.039999999,0,.0099999998,0,.0099999998,0,.039999999,0,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,10,0,11843936,26.549999,13.76,18.07,15.68,12.27,15.35,19.389999,23.190001,15.86,19.35,17.58,20.4,17.07,18.209999,15.37,21.040001,15.19,16.969999,11.17,16.690001,15.08,1.62,.38,.79000002,.56,.25999999,.51999998,.92000002,1.29,.57999998,.92000002,.74000001,1.02,.69,.80000001,.52999997,1.08,.50999999,.68000001,.15000001,.66000003,.5,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,GLP,10,25,387788,3.1400001,2.1900001,5.0700002,6.6500001,3.7,2.3900001,3.1300001,3.8900001,3.29,6,3.22,2.6500001,5.4899998,3.23,4.8099999,3.1400001,1.91,3.71,2.6800001,3.99,2.1099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,10,0,2094803,7.5300002,6.7800002,6.1999998,6.4400001,5.29,11.89,7.6300001,7.9899998,6.4699998,5.7399998,7.1199999,9.0500002,7.2600002,6.1300001,7.27,11.19,3.52,6.8800001,4.9299998,10,6.8400002,.0099999998,0,0,0,0,.19,0,.0099999998,0,0,0,.029999999,0,0,0,.12,0,0,0,.039999999,0,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,10,0,1822004,11.08,8.7600002,9.8400002,9.0699997,7.5799999,12.97,10.6,14.39,11.46,9.5299997,9.6400003,13.81,10.15,9.3000002,10.35,15.78,6.8499999,10.56,7.2399998,12.27,8.6999998,.12,0,.029999999,0,0,.28999999,.079999998,.43000001,.15000001,.02,.02,.37,.039999999,.0099999998,.050000001,.56999999,0,.07,0,.22,.0099999998,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,10,0,781291,38.439999,22.85,23.43,22.59,21.809999,20.51,23.719999,23.549999,16.76,19.48,20.92,18.200001,20.120001,22.219999,19.75,20.07,21.73,23.33,20.370001,21.139999,21.51,2.79,1.26,1.3200001,1.23,1.16,1.03,1.34,1.33,.66000003,.93000001,1.0700001,.80000001,.99000001,1.2,.95999998,.99000001,1.15,1.3099999,1.02,1.09,1.13,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,10,25,10794779,15.81,15.31,15.14,15.81,17.02,15.44,13.81,15.44,12.3,11.44,10.98,13.81,9.5900002,14.52,13.08,12.62,12.52,10.83,10.96,7.8600001,9.7799997,.56999999,.51999998,.50999999,.56999999,.69,.52999997,.38999999,.52999997,.23999999,.19,.15000001,.37,.07,.44999999,.31,.25999999,.25999999,.17,.16,.029999999,.090000004,.0099999998,0,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,10,0,106393,2.5999999,1.6,2.5999999,4.1900001,2.45,1.53,1.9,1.99,2.1800001,3.6500001,2.95,1.48,2.5699999,2.0699999,3.9100001,2.26,1.86,3.04,2.6300001,4.1500001,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,10,0,46902,1.9,1.8200001,1.74,1.67,1.75,1.97,1.97,1.76,1.67,1.5599999,1.9299999,1.42,1.64,1.48,1.8200001,1.74,1.9,1.62,1.54,1.6,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,10,10,16589704,43.689999,19.620001,24.83,16.620001,16.120001,17.879999,12.54,15.61,15.26,16.110001,14.49,17.57,15.94,19.309999,18.35,20.32,16.15,19.52,18.639999,16.209999,15.42,3.3,.94,1.45,.64999998,.60000002,.76999998,.25999999,.55000001,.51999998,.60000002,.44,.74000001,.57999998,.91000003,.81999999,1.01,.60000002,.93000001,.85000002,.61000001,.54000002,3.3,.94,1.45,.64999998,.60000002,.76999998,.25999999,.55000001,.51999998,.60000002,.44,.74000001,.57999998,.91000003,.81999999,1.01,.60000002,.93000001,.85000002,.61000001,.54000002
French Guiana,GUF,10,0,296085,17.32,8.9300003,20.76,14.57,8.5699997,7.23,12.89,11.32,10.16,15.39,8.3299999,8.9099998,5.1599998,6.1399999,10.03,10.25,3.6800001,10.05,3.4300001,6.6999998,7.8699999,.72000003,.039999999,1.05,.44999999,.0099999998,0,.28999999,.14,.050000001,.52999997,0,.0099999998,0,0,.050000001,.050000001,0,.029999999,0,0,.039999999,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,10,12,168147,4.4099998,1.65,3.0799999,5.0700002,6.8800001,3.8699999,.02,4.4299998,3.79,3.0999999,2.97,1.9299999,2.73,2.3,3.6099999,4.6100001,3.4300001,8.04,2.4200001,2.4400001,4.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,10,0,719037,16.860001,10.39,9.0699997,10.64,6.6799998,9.8800001,9.9099998,10.27,10.67,16.469999,9.5100002,8.3800001,6.4299998,9.9399996,9.0799999,8.1000004,4,8.1099997,5.21,7.1999998,9.5299997,.69,.1,.090000004,.079999998,0,.029999999,.039999999,.07,.11,.64999998,.02,0,0,.029999999,.02,.0099999998,0,0,0,0,.029999999,,,,,,,,,,,,,,,,,,,,,
